108.162.195.46,false,false,false,0,0,true,86,false,false,false,true
173.245.58.172,false,false,false,0,0,true,90,false,false,false,true
173.245.59.71,false,false,false,0,0,true,90,false,false,false,true
108.162.194.98,false,false,false,0,0,true,88,false,false,false,true
173.245.58.103,false,false,false,0,0,true,91,false,false,false,true
108.162.193.113,true,false,false,0,3,true,217,false,false,false,true
45.54.76.1,true,false,false,0,2,true,115,false,false,false,true
202.106.196.28,true,false,false,0,3,true,300,false,false,false,true
205.251.197.86,false,false,false,0,0,true,111,false,false,false,true
205.251.197.39,false,false,false,0,0,true,117,false,false,false,true
211.136.20.201,false,false,false,0,0,true,83,false,false,false,true
122.9.14.10,true,false,false,0,2,true,178,false,false,false,true
114.114.116.116,true,false,false,0,2,true,113,false,false,false,true
54.228.156.72,true,false,false,0,5,true,509,false,false,false,true
118.102.5.135,true,false,false,0,1,true,80,false,false,false,true
170.33.80.10,true,false,false,0,1,true,111,false,false,false,true
103.72.12.151,true,false,false,0,1,true,337,false,false,false,true
108.162.192.137,true,false,false,0,1,true,107,false,false,false,true
103.71.201.3,true,false,false,0,6,true,502,false,false,false,true
18.182.82.158,true,false,false,0,1,true,337,false,false,false,true
104.194.78.5,false,false,false,0,0,true,84,false,false,false,true
106.11.41.158,true,false,false,0,4,true,298,false,false,false,true
103.72.12.142,true,false,false,0,1,true,75,false,false,false,true
220.196.136.53,true,false,false,0,6,true,495,false,false,false,true
36.155.149.211,true,false,false,0,7,true,486,false,false,false,true
118.85.203.176,true,false,false,0,5,true,391,false,false,false,true
108.162.193.159,true,false,false,0,1,true,110,false,false,false,true
185.132.33.200,false,true,false,0,0,true,27,false,false,false,true
108.162.193.127,false,false,false,0,0,true,84,false,false,false,true
207.5.199.6,true,false,false,0,1,true,74,false,false,false,true
108.162.193.181,true,false,false,0,5,true,378,false,false,false,true
185.12.154.108,true,true,false,0,5,true,488,false,false,false,true
150.171.10.34,true,false,false,0,1,true,61,false,false,false,true
216.239.34.10,true,false,false,0,1,true,51,false,false,false,true
216.239.36.99,true,false,false,0,1,true,54,false,false,false,true
